route_id,trip_id,trip_headsign,service_id
4,490,To Plaza Suites & Embassy Suites Santa Clara,2
4,491,To Plaza Suites & Embassy Suites Santa Clara,2
4,492,To Plaza Suites & Embassy Suites Santa Clara,2
4,493,To Plaza Suites & Embassy Suites Santa Clara,2
0,24,To Shoreline,3
0,25,To Shoreline,3
0,26,To Shoreline,3
0,27,To Shoreline,1
0,20,To Shoreline,3
0,21,To Shoreline,3
0,22,To Shoreline,3
0,23,To Shoreline,3
0,28,To Shoreline,1
0,29,To Shoreline,1
3,407,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,406,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,405,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,404,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,403,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,402,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,401,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,400,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
11,629,San Francisco International Airport,3
3,409,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
3,408,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",2
9,628,"Westin St. Francis, via Millbrae BART",3
6,758,To Country Inn & Suites by Carlson and Aloft Santa Clara,0
1,379,To Hotel Avante & Grand Hotel,2
1,378,To Hotel Avante & Grand Hotel,2
2,829,To The Domain Hotel & Wild Palms Hotel,0
2,828,To The Domain Hotel & Wild Palms Hotel,0
1,371,To Hotel Avante & Grand Hotel,2
1,370,To Hotel Avante & Grand Hotel,2
1,373,To Hotel Avante & Grand Hotel,2
1,372,To Hotel Avante & Grand Hotel,2
1,375,To Hotel Avante & Grand Hotel,2
1,374,To Hotel Avante & Grand Hotel,2
1,377,To Hotel Avante & Grand Hotel,2
1,376,To Hotel Avante & Grand Hotel,2
1,708,To Hotel Avante & Grand Hotel,0
1,709,To Hotel Avante & Grand Hotel,0
1,704,To Hotel Avante & Grand Hotel,0
1,705,To Hotel Avante & Grand Hotel,0
1,706,To Hotel Avante & Grand Hotel,0
1,707,To Hotel Avante & Grand Hotel,0
1,700,To Hotel Avante & Grand Hotel,0
9,618,"Westin St. Francis, via Millbrae BART",2
1,702,To Hotel Avante & Grand Hotel,0
1,703,To Hotel Avante & Grand Hotel,0
3,393,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,392,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,88,To Shoreline,1
3,89,To Shoreline,1
3,397,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,396,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,395,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
3,394,"To Cupertino Inn, Courtyard San Jose Cupertino & Hilton Garden Inn Cupertino",1
2,82,To Shoreline,2
2,83,To Shoreline,3
2,80,To Shoreline,2
2,81,To Shoreline,2
2,86,To Shoreline,3
2,87,To Shoreline,3
2,84,To Shoreline,3
2,85,To Shoreline,3
5,797,To BiltMore Hotel & Suites and Avatar Hotel,0
5,796,To BiltMore Hotel & Suites and Avatar Hotel,0
5,795,To BiltMore Hotel & Suites and Avatar Hotel,0
4,794,To Plaza Suites & Embassy Suites Santa Clara,0
4,793,To Plaza Suites & Embassy Suites Santa Clara,0
4,792,To Plaza Suites & Embassy Suites Santa Clara,0
4,791,To Plaza Suites & Embassy Suites Santa Clara,0
4,790,To Plaza Suites & Embassy Suites Santa Clara,0
5,799,To BiltMore Hotel & Suites and Avatar Hotel,0
5,798,To BiltMore Hotel & Suites and Avatar Hotel,0
0,7,To Shoreline,2
8,601,"Hyatt Regency Embarcadero, via Millbrae BART",2
8,607,"Hyatt Regency Embarcadero, via Millbrae BART",3
2,586,To The Domain Hotel & Wild Palms Hotel,3
8,587,"Hyatt Regency Embarcadero, via Millbrae BART",1
2,584,To The Domain Hotel & Wild Palms Hotel,3
2,585,To The Domain Hotel & Wild Palms Hotel,3
